experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1745532716.7702954,20,1746183681.0543773,37.5,0.37020000000000003,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183700.0000255,1746183541.2927268,1746180830.874519,0.00177,1.0,0.00177,1.0,0,0,1,False
1745532716.7702954,20,1746183701.3235157,37.51,0.369,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183721.2563741,1746183721.8434741,1746180830.874519,0.00174,1.0,0.00174,1.0,0,0,0,False
1745532716.7702954,20,1746183721.8510413,37.55,0.36460000000000004,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183741.8040147,1746183721.8434741,1746180830.874519,0.00174,1.0,0.00174,1.0,0,0,0,False
1745532716.7702954,20,1746183741.863626,37.57,0.3607,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183761.8367472,1746183721.8434741,1746180830.874519,0.00171,1.0,0.00171,1.0,0,0,0,False
1745532716.7702954,20,1746183761.8982255,37.62,0.35740000000000005,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183781.8860843,1746183721.8434741,1746180830.874519,0.00177,1.0,0.00177,1.0,0,0,0,False
1745532716.7702954,20,1746183781.944857,37.58,0.3542,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183801.9196188,1746183721.8434741,1746180830.874519,0.00165,1.0,0.00165,1.0,0,0,0,False
1745532716.7702954,20,1746183801.9877632,37.57,0.3517,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183821.9281769,1746183721.8434741,1746180830.874519,0.00177,1.0,0.00177,1.0,0,0,0,False
1745532716.7702954,20,1746183822.0038953,37.55,0.3497,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183841.9740276,1746183721.8434741,1746180830.874519,0.00186,1.0,0.00186,1.0,0,1,0,False
1745532716.7702954,20,1746183842.0413752,37.52,0.36560000000000004,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183861.9836512,1746183721.8434741,1746180830.874519,0.00177,1.0,0.00177,1.0,0,0,0,False
1745532716.7702954,20,1746183862.0514386,37.49,0.36719999999999997,37.5,38,1.9,0.004,0.0,0.38,0.03,2,1746183881.9322455,1746183721.8434741,1746180830.874519,0.00177,1.0,0.00177,1.0,0,0,1,False
